what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1341076221963
started,bundle,org.eclipse.osgi,3.7.1.R37x_v20110808-1106,"org.eclipse.osgi",1341076221966
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1341076221970
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1341076221980
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1341076222011
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1341076222022
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1341076222035
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1341076222041
started,bundle,org.eclipse.core.jobs,3.5.100.v20110404,"org.eclipse.core.jobs",1341076222075
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1341076222148
started,bundle,org.eclipse.core.resources,3.7.100.v20110510-0712,"org.eclipse.core.resources",1341076222236
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1341076222259
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1341076222259
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1341076222267
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1341076222267
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1341076222283
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1341076222291
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1341076222298
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1341076222298
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1341076222306
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1341076222314
started,bundle,org.eclipse.equinox.p2.core,2.1.0.v20110502-1955,"org.eclipse.equinox.p2.core",1341076222314
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110502-1955,"org.eclipse.equinox.p2.directorywatcher",1341076222322
started,bundle,org.eclipse.equinox.p2.engine,2.1.0.v20110511,"org.eclipse.equinox.p2.engine",1341076222330
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110510,"org.eclipse.equinox.p2.metadata",1341076222337
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110511-1359,"org.eclipse.equinox.p2.metadata.repository",1341076222337
started,bundle,org.eclipse.equinox.p2.operations,2.1.0.v20110511-1821,"org.eclipse.equinox.p2.operations",1341076222337
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110510,"org.eclipse.equinox.p2.reconciler.dropins",1341076222337
started,bundle,org.eclipse.equinox.p2.repository,2.1.0.v20110601,"org.eclipse.equinox.p2.repository",1341076222369
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.scheduler",1341076222384
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110502-1955,"org.eclipse.equinox.p2.updatechecker",1341076222423
started,bundle,org.eclipse.equinox.preferences,3.4.1.R37x_v20110725,"org.eclipse.equinox.preferences",1341076222431
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1341076222439
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1341076222533
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1341076222548
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1341076222598
started,bundle,org.eclipse.jdt.core,3.7.1.v_B76_R37x,"org.eclipse.jdt.core",1341076222611
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110505-0800,"org.eclipse.jdt.core.manipulation",1341076222614
started,bundle,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui",1341076222669
started,bundle,org.eclipse.jface,3.7.0.I20110522-1430,"org.eclipse.jface",1341076222690
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1341076222691
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1341076222734
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1341076222750
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1341076222751
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1341076222751
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1341076222765
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1341076222814
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1341076222830
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1341076222831
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1341076222858
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1341076222875
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1341076222884
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1341076222900
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1341076222906
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1341076222915
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1341076222941
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1341076222958
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1341076222992
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1341076223027
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1341076223062
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1341076223063
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1341076223063
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1341076223067
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1341076223108
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1341076223162
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1341076223165
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1341076223180
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1341076223191
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1341076223192
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1341076223208
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1341076223263
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1341076223273
started,bundle,com.aptana.core,3.0.4.1337874171,"com.aptana.core",1341076223275
started,bundle,com.aptana.filewatcher,3.0.1.1337406272,"com.aptana.filewatcher",1341076223280
started,bundle,com.aptana.portal.ui,3.0.0.1337406272,"com.aptana.portal.ui",1341076223282
started,bundle,com.aptana.scripting,3.0.0.1337406272,"com.aptana.scripting",1341076223907
started,bundle,com.aptana.scripting.ui,3.0.0.1337868207,"com.aptana.scripting.ui",1341076223939
started,bundle,com.aptana.theme,3.0.0.1337868207,"com.aptana.theme",1341076223995
started,bundle,com.aptana.usage,3.0.0.1338353394,"com.aptana.usage",1341076223995
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.100.v201201031437,"org.eclipse.jst.ws.jaxws.utils",1341076224010
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1341076224010
started,bundle,org.eclipse.m2e.logback.configuration,1.1.0.20120530-0009,"org.eclipse.m2e.logback.configuration",1341076224010
os,sysinfo,,,"win32",1341076224018
arch,sysinfo,,,"x86",1341076224018
ws,sysinfo,,,"win32",1341076224018
locale,sysinfo,,,"el_GR",1341076224018
processors,sysinfo,,,"2",1341076224018
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1341076224018
java.runtime.version,sysinfo,,,"1.7.0_03-b05",1341076224018
java.specification.name,sysinfo,,,"Java Platform API Specification",1341076224018
java.specification.vendor,sysinfo,,,"Oracle Corporation",1341076224018
java.specification.version,sysinfo,,,"1.7",1341076224018
java.vendor,sysinfo,,,"Oracle Corporation",1341076224018
java.version,sysinfo,,,"1.7.0_03",1341076224018
java.vm.info,sysinfo,,,"mixed mode, sharing",1341076224018
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1341076224018
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1341076224018
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1341076224018
java.vm.specification.version,sysinfo,,,"1.7",1341076224018
java.vm.vendor,sysinfo,,,"Oracle Corporation",1341076224018
java.vm.version,sysinfo,,,"22.1-b02",1341076224018
started,bundle,org.eclipse.m2e.discovery,1.1.0.20120530-0009,"org.eclipse.m2e.discovery",1341076224034
started,bundle,beaver,3.0.0.1330991996,"beaver",1341076224662
started,bundle,com.aptana.explorer,3.0.0.1337406272,"com.aptana.explorer",1341076225126
started,bundle,org.python.pydev.red_core,2.6.0.2012052102,"org.python.pydev.red_core",1341076225827
started,bundle,com.aptana.ui,3.1.3.1337406272,"com.aptana.ui",1341076226795
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341076227624
started,bundle,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser",1341076227804
started,bundle,com.aptana.browser,3.0.0.1337406272,"com.aptana.browser",1341076228420
started,bundle,com.aptana.configurations,3.0.3.1337406272,"com.aptana.configurations",1341076228507
started,bundle,com.aptana.projects,3.0.0.1337406272,"com.aptana.projects",1341076228542
started,bundle,com.aptana.samples.ui,3.0.0.1337281307,"com.aptana.samples.ui",1341076228582
started,bundle,com.aptana.samples,3.0.0.1337406272,"com.aptana.samples",1341076228627
opened,editor,com.aptana.portal.ui,3.0.0.1337406272,"com.aptana.portal.ui.browser.startPage",1341076228665
activated,editor,com.aptana.portal.ui,3.0.0.1337406272,"com.aptana.portal.ui.browser.startPage",1341076228729
started,bundle,com.aptana.jetty.util.epl,3.0.0.1337703431,"com.aptana.jetty.util.epl",1341076235877
started,bundle,org.eclipse.jgit,1.1.0.201109151100-r,"org.eclipse.jgit",1341076291975
started,bundle,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui",1341076292092
started,bundle,org.eclipse.egit.core,1.1.0.201109151100-r,"org.eclipse.egit.core",1341076292170
started,bundle,org.eclipse.ui.navigator,3.5.100.v20110809-2227,"org.eclipse.ui.navigator",1341076292280
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1341076292319
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1341076292334
started,bundle,com.aptana.preview,3.0.0.1337406272,"com.aptana.preview",1341076294249
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341076294256
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341076296186
started,bundle,com.aptana.ui.epl,3.0.0.1336005408,"com.aptana.ui.epl",1341076316083
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1341076339867
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1341076340320
started,bundle,org.eclipse.jdt.launching,3.6.1.v20110803_r371,"org.eclipse.jdt.launching",1341076340453
started,bundle,com.aptana.editor.php.epl,3.0.0.1336437459,"com.aptana.editor.php.epl",1341076340640
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341076340773
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1341076340828
started,bundle,com.aptana.git.core,3.0.0.1337406272,"com.aptana.git.core",1341076341054
started,bundle,com.aptana.git.ui,3.0.3.1337406272,"com.aptana.git.ui",1341076341078
started,bundle,com.aptana.syncing.core,3.0.0.1337406272,"com.aptana.syncing.core",1341076341117
started,bundle,com.aptana.core.io,3.0.3.1337406272,"com.aptana.core.io",1341076341257
started,bundle,com.aptana.syncing.ui,3.0.3.1337406272,"com.aptana.syncing.ui",1341076341359
started,bundle,com.aptana.index.core.ui,3.0.0.1337868207,"com.aptana.index.core.ui",1341076344265
started,bundle,com.aptana.index.core,3.0.0.1337281307,"com.aptana.index.core",1341076344289
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1341076344335
closed,editor,com.aptana.portal.ui,3.0.0.1337406272,"com.aptana.portal.ui.browser.startPage",1341076344335
started,bundle,com.aptana.ui.io,3.0.0.1337406272,"com.aptana.ui.io",1341076364606
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1341076365477
started,bundle,com.aptana.workbench,3.0.0.1337406272,"com.aptana.workbench",1341076365618
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341076367482
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341076369519
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.customizePerspective",1341076369558
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341076374496
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341076376581
started,bundle,org.eclipse.jst.j2ee.ui,1.1.503.v201201190400,"org.eclipse.jst.j2ee.ui",1341076376682
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1341076376823
started,bundle,org.python.pydev.core,2.6.0.2012052102,"org.python.pydev.core",1341076377135
started,bundle,com.python.pydev.analysis,2.6.0.2012052102,"com.python.pydev.analysis",1341076377190
started,bundle,org.python.pydev,2.6.0.2012052102,"org.python.pydev",1341076377221
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1341076377514
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1341076377587
started,bundle,org.eclipse.emf.edit,2.7.2.v20120130-0943,"org.eclipse.emf.edit",1341076377590
started,bundle,org.eclipse.emf.common.ui,2.7.0.v20120130-0943,"org.eclipse.emf.common.ui",1341076377617
started,bundle,org.eclipse.emf.edit.ui,2.7.0.v20120130-0943,"org.eclipse.emf.edit.ui",1341076377621
started,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.500.v201105122000,"org.eclipse.jst.j2ee.webservice.ui",1341076377625
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1341076377663
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1341076377694
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1341076377739
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1341076377759
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1341076377764
started,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1341076377785
started,bundle,org.eclipse.jst.jee.ui,1.0.401.v201202011107,"org.eclipse.jst.jee.ui",1341076378355
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.501.v201107261503,"org.eclipse.jst.j2ee.navigator.ui",1341076378386
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1341076378667
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1341076378683
started,bundle,org.eclipse.jst.j2ee.core,1.2.102.v201202090300,"org.eclipse.jst.j2ee.core",1341076378769
started,bundle,org.eclipse.jem,2.0.501.v201111030500,"org.eclipse.jem",1341076378824
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1341076378910
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1341076378933
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1341076378980
started,bundle,org.eclipse.jst.j2ee,1.1.503.v201202090300,"org.eclipse.jst.j2ee",1341076379074
error,log,,,"Project facet axis2.core has not been defined. It is used in plugin org.eclipse.jst.ws.cxf.core.",1341076379333
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1341076379355
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1341076379413
opened,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1341076380592
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.AllMarkersView",1341076380744
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.503.v201201190400,"org.eclipse.jst.j2ee.J2EEPerspective",1341076380875
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1341076381055
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.perspectives.showPerspective",1341076381226
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.perspectives.showPerspective",1341076381226
started,bundle,com.aptana.deploy,3.0.3.1337406272,"com.aptana.deploy",1341076381375
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1341076383856
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.101.v201201031437,"org.eclipse.jst.ws.jaxws.dom.integration",1341076383872
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1341076383887
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1341076389193
